Booking_Status,Lead_Time,Weekend_Stay,Weekend_Night,Booking_Changes,ADR,Arrival_Months,Market_Segments
0,342,0,0,3,0,7,3
0,737,0,0,4,0,7,3
0,7,0,1,0,75,7,3
0,13,0,1,0,75,7,2
0,14,0,2,0,98,7,6
0,14,0,2,0,98,7,6
0,0,0,2,0,107,7,3
0,9,0,2,0,103,7,3
1,85,0,3,0,82,7,6
1,75,0,3,0,105.5,7,5
1,23,0,4,0,123,7,6
0,35,0,4,0,145,7,6
0,68,0,4,0,97,7,6
0,18,0,4,1,154.77,7,6
0,37,0,4,0,94.71,7,6
0,68,0,4,0,97,7,6
0,37,0,4,0,97.5,7,5
0,12,0,1,0,88.2,7,6
0,0,0,1,0,107.42,7,2
0,7,0,4,0,153,7,3
0,37,1,4,0,97.29,7,6
0,72,2,4,1,84.67,7,3
0,72,2,4,1,84.67,7,3
0,72,2,4,1,99.67,7,3
0,127,2,5,0,94.95,7,5
0,78,2,5,0,63.6,7,5
0,48,2,5,0,79.5,7,5
1,60,2,5,0,107,7,6
0,77,2,5,0,94,7,6
0,99,2,5,0,87.3,7,6
0,118,4,10,2,62,7,3
0,95,4,11,0,63.86,7,5
1,96,2,8,0,108.3,7,3
0,69,2,4,0,65.5,7,5
1,45,1,3,0,108.8,7,6
1,40,1,3,0,108.8,7,6
0,15,1,3,0,98,7,6
0,36,1,3,0,108.8,7,6
1,43,1,3,0,108.8,7,6
0,70,2,3,0,137,7,3
1,45,2,3,0,117.81,7,6
0,45,2,3,0,79.5,7,5
0,16,2,3,0,123,7,3
0,70,2,3,0,137,7,3
0,107,2,5,0,110.7,7,6
1,47,2,5,0,153,7,6
0,96,2,5,0,58.95,7,5
0,113,2,5,0,82.88,7,5
0,90,2,5,1,82.35,7,5
0,50,2,5,1,119.35,7,6
0,113,2,5,0,67.58,7,5
0,93,3,8,0,56.01,7,5
0,76,4,10,0,110.7,7,5
0,3,0,1,0,88.2,7,6
0,1,0,1,0,147,7,6
0,1,0,1,0,107,7,3
0,0,0,1,0,147,7,3
0,0,0,1,0,117.9,7,6
0,0,0,1,0,123,7,3
0,14,0,2,0,98,7,6
0,10,0,2,0,117.81,7,6
0,5,0,2,0,135,7,6
0,17,0,3,0,133,7,3
0,93,0,3,0,58.95,7,5
1,3,0,3,0,136.33,7,6
0,10,0,2,0,153,7,6
0,3,0,2,0,110.5,7,6
0,51,0,2,0,97,7,6
1,71,0,2,0,110.3,7,5
1,63,0,2,0,82,7,6
1,62,0,2,0,97,7,6
1,101,0,2,0,73.8,7,6
0,2,0,2,0,91.5,7,5
0,15,0,2,0,114.5,7,6
1,51,0,2,0,110.3,7,6
0,3,1,2,0,90.9,7,6
1,48,1,2,0,123,7,6
0,2,2,2,0,122,7,6
0,72,2,2,0,110.7,7,5
0,81,2,6,0,85.86,7,5
0,99,2,7,0,58.95,7,5
1,368,3,7,0,55.68,7,5
0,364,3,7,0,55.68,7,5
1,81,3,7,2,124,7,3
0,99,3,7,0,111.15,7,5
0,324,4,10,0,134.73,7,5
0,69,4,10,1,92.45,7,6
1,79,6,15,0,108.73,7,5
0,12,0,1,0,73.8,7,6
0,9,0,1,0,98,7,6
0,1,0,1,0,131,7,6
0,21,0,1,0,123,7,6
0,9,0,1,0,94.71,7,6
0,109,0,1,0,123,7,6
1,109,0,2,0,123,7,6
1,72,0,2,0,73.8,7,6
1,63,2,5,0,117,7,6
0,63,2,5,0,196.54,7,5
0,101,2,5,0,99.3,7,6
0,102,2,5,0,90.95,7,3
0,4,2,1,0,92.67,7,3
0,98,2,1,0,71.55,7,5
0,92,2,4,0,96.49,7,5
0,95,2,4,0,85.8,7,6
0,102,2,5,0,96.3,7,6
1,26,2,5,0,163,7,6
1,73,2,5,0,172,7,3
1,102,2,5,0,110.7,7,6
0,115,2,5,0,58.95,7,5
0,102,2,5,0,73.8,7,6
0,86,2,5,0,97,7,6
0,78,2,5,0,139,7,6
0,52,2,5,0,67.24,7,6
0,29,2,6,0,116.5,7,6
1,101,2,6,0,96.3,7,6
0,109,2,6,0,123,7,6
0,92,4,6,0,71.55,7,5
0,92,4,6,0,71.55,7,5
0,79,4,6,1,149,7,3
0,2,0,1,1,163,7,6
0,30,0,1,0,79.5,7,5
1,51,0,1,0,105,7,6
1,36,0,1,1,123,7,3
1,73,0,1,0,73.8,7,6
1,33,0,1,0,113,7,6
0,32,0,1,2,0,7,1
0,8,0,1,0,123,7,6
0,100,1,1,0,73.8,7,6
0,1,1,1,0,114.5,7,6
0,100,1,1,0,73.8,7,6
0,100,1,1,0,73.8,7,6
0,9,1,0,0,88.2,7,6
1,5,1,0,0,97,7,6
0,0,1,0,1,85.1,7,6
0,9,1,0,0,89,7,6
0,2,1,0,0,80.1,7,6
0,2,1,0,0,98,7,6
0,9,1,0,0,101,7,6
1,5,1,0,0,97,7,6
0,2,1,0,0,167,7,3
0,44,2,0,3,225,7,6
0,80,2,0,0,97,7,6
0,97,2,2,0,87.3,7,6
0,109,2,3,0,85.59,7,5
0,30,2,3,0,123,7,6
0,64,2,3,0,107,7,6
0,39,2,4,0,163,7,6
0,90,2,4,0,82,7,6
1,34,2,4,0,163,7,6
1,93,2,5,0,105.5,7,5
0,97,2,5,1,164.2,7,3
0,29,2,5,0,97.29,7,6
1,101,2,5,0,114,7,6
0,27,2,5,0,98.4,7,5
0,8,4,5,1,175,7,6
0,82,4,6,0,63.6,7,5
0,94,4,6,3,124.45,7,3
0,110,4,7,0,110.7,7,5
0,96,4,10,0,74.07,7,5
0,79,4,10,0,134.1,7,5
0,115,1,4,1,167,7,6
0,111,1,3,0,123,7,6
0,51,1,3,0,117.81,7,6
0,94,1,3,0,171.32,7,5
0,81,1,3,0,210,7,3
0,84,1,3,1,97,7,6
0,51,1,3,0,117.81,7,6
